cp1,cp2,age
2706,2709,1.1
270A,270B,6.0
270C,2727,1.1
2728,2728,6.0
2729,274B,1.1
274C,274C,6.0
274D,274D,1.1
274E,274E,6.0
274F,2752,1.1
2753,2755,6.0
2756,2756,1.1
2757,2757,5.2
2758,275E,1.1
275F,2760,6.0
2761,2767,1.1
2768,2775,3.2
2776,2794,1.1
2795,2797,6.0
2798,27AF,1.1
27B0,27B0,6.0
27B1,27BE,1.1
27BF,27BF,6.0
27C0,27C6,4.1
27C7,27CA,5.0
27CB,27CB,6.1
27CC,27CC,5.1
27CD,27CD,6.1
27CE,27CF,6.0
27D0,27EB,3.2
27EC,27EF,5.1
27F0,27FF,3.2
2800,28FF,3.0
2900,2AFF,3.2
2B00,2B0D,4.0
2B0E,2B13,4.1
2B14,2B1A,5.0
2B1B,2B1F,5.1
2B20,2B23,5.0
2B24,2B4C,5.1
2B4D,2B4F,7.0
2B50,2B54,5.1
2B55,2B59,5.2
2B5A,2B95,7.0
2B97,2B97,13.0
2B98,2BB9,7.0
2BBA,2BBC,11.0
2BBD,2BC8,7.0
2BC9,2BC9,12.0
2BCA,2BD1,7.0
2BD2,2BD2,10.0
2BD3,2BEB,11.0
2BEC,2BEF,8.0
2BF0,2BFE,11.0
2BFF,2BFF,12.0
2C00,2C2E,4.1
2C2F,2C2F,14.0
2C30,2C5E,4.1
2C5F,2C5F,14.0
2C60,2C6C,5.0
2C6D,2C6F,5.1
2C70,2C70,5.2
2C71,2C73,5.1
2C74,2C77,5.0
2C78,2C7D,5.1
2C7E,2C7F,5.2
2C80,2CEA,4.1
2CEB,2CF1,5.2
2CF2,2CF3,6.1
2CF9,2D25,4.1
2D27,2D2D,6.1
2D30,2D65,4.1
2D66,2D67,6.1
2D6F,2D6F,4.1
2D70,2D7F,6.0
2D80,2DDE,4.1
2DE0,2DFF,5.1
2E00,2E17,4.1
2E18,2E1B,5.1
2E1C,2E1D,4.1
2E1E,2E30,5.1
2E31,2E31,5.2
2E32,2E3B,6.1
2E3C,2E42,7.0
2E43,2E44,9.0
2E45,2E49,10.0
2E4A,2E4E,11.0
2E4F,2E4F,12.0
2E50,2E52,13.0
2E53,2E5D,14.0
2E80,2FFB,3.0
2FFC,2FFF,15.1
3000,3037,1.1
3038,303A,3.0
303B,303D,3.2
303E,303E,3.0
303F,3094,1.1
3095,3096,3.2
3099,309E,1.1
309F,30A0,3.2
30A1,30FE,1.1
30FF,30FF,3.2
3105,312C,1.1
312D,312D,5.1
312E,312E,10.0
312F,312F,11.0
3131,319F,1.1
31A0,31B7,3.0
31B8,31BA,6.0
31BB,31BF,13.0
31C0,31CF,4.1
31D0,31E3,5.1
31EF,31EF,15.1
31F0,31FF,3.2
3200,321C,1.1
321D,321E,4.0
3220,3243,1.1
3244,324F,5.2
3250,3250,4.0
3251,325F,3.2
3260,327B,1.1
327C,327D,4.0
327E,327E,4.1
327F,32B0,1.1
32B1,32BF,3.2
32C0,32CB,1.1
32CC,32CF,4.0
32D0,32FE,1.1
32FF,32FF,12.1
3300,3376,1.1
3377,337A,4.0
337B,33DD,1.1
33DE,33DF,4.0
33E0,33FE,1.1
33FF,33FF,4.0
3400,4DB5,3.0
4DB6,4DBF,13.0
4DC0,4DFF,4.0
4E00,9FA5,1.1
9FA6,9FBB,4.1
9FBC,9FC3,5.1
9FC4,9FCB,5.2
9FCC,9FCC,6.1
9FCD,9FD5,8.0
9FD6,9FEA,10.0
9FEB,9FEF,11.0
9FF0,9FFC,13.0
9FFD,9FFF,14.0
A000,A4A1,3.0
A4A2,A4A3,3.2
A4A4,A4B3,3.0
A4B4,A4B4,3.2
A4B5,A4C0,3.0
A4C1,A4C1,3.2
A4C2,A4C4,3.0
A4C5,A4C5,3.2
A4C6,A4C6,3.0
A4D0,A4FF,5.2
A500,A65F,5.1
A660,A661,6.0
A662,A673,5.1
A674,A67B,6.1
A67C,A697,5.1
A698,A69D,7.0
A69E,A69E,8.0
A69F,A69F,6.1
A6A0,A6F7,5.2
A700,A716,4.1
A717,A71A,5.0
A71B,A71F,5.1
A720,A721,5.0
A722,A78C,5.1
A78D,A78E,6.0
A78F,A78F,8.0
A790,A791,6.0
A792,A793,6.1
A794,A79F,7.0
A7A0,A7A9,6.0
A7AA,A7AA,6.1
A7AB,A7AD,7.0
A7AE,A7AE,9.0
A7AF,A7AF,11.0
A7B0,A7B1,7.0
A7B2,A7B7,8.0
A7B8,A7B9,11.0
A7BA,A7BF,12.0
A7C0,A7C1,14.0
A7C2,A7C6,12.0
A7C7,A7CA,13.0
A7D0,A7F4,14.0
A7F5,A7F6,13.0
A7F7,A7F7,7.0
A7F8,A7F9,6.1
A7FA,A7FA,6.0
A7FB,A7FF,5.1
A800,A82B,4.1
A82C,A82C,13.0
A830,A839,5.2
A840,A877,5.0
A880,A8C4,5.1
A8C5,A8C5,9.0
A8CE,A8D9,5.1
A8E0,A8FB,5.2
A8FC,A8FD,8.0
A8FE,A8FF,11.0
A900,A95F,5.1
A960,A9DF,5.2
A9E0,A9FE,7.0
AA00,AA5F,5.1
AA60,AA7B,5.2
AA7C,AA7F,7.0
AA80,AADF,5.2
AAE0,AAF6,6.1
AB01,AB2E,6.0
AB30,AB5F,7.0
AB60,AB63,8.0
AB64,AB65,7.0
AB66,AB67,12.0
AB68,AB6B,13.0
AB70,ABBF,8.0
ABC0,ABF9,5.2
AC00,D7A3,2.0
D7B0,D7FB,5.2
E000,FA2D,1.1
FA2E,FA2F,6.1
FA30,FA6A,3.2
FA6B,FA6D,5.2
FA70,FAD9,4.1
FB00,FB17,1.1
FB1D,FB1D,3.0
FB1E,FBB1,1.1
FBB2,FBC1,6.0
FBC2,FBC2,14.0
FBD3,FD3F,1.1
FD40,FD4F,14.0
FD50,FDC7,1.1
FDCF,FDCF,14.0
FDF0,FDFB,1.1
FDFC,FDFC,3.2
FDFD,FDFD,4.0
FDFE,FDFF,14.0
FE00,FE0F,3.2
FE10,FE19,4.1
FE20,FE23,1.1
FE24,FE26,5.1
FE27,FE2D,7.0
FE2E,FE2F,8.0
FE30,FE44,1.1
FE45,FE46,3.2
FE47,FE48,4.0
FE49,FE72,1.1
FE73,FE73,3.2
FE74,FF5E,1.1
FF5F,FF60,3.2
FF61,FFEE,1.1
FFF9,FFFB,3.0
FFFC,FFFC,2.1
FFFD,FFFD,1.1
10000,1013F,4.0
10140,1018A,4.1
1018B,1018C,7.0
1018D,1018E,9.0
10190,1019B,5.1
1019C,1019C,13.0
101A0,101A0,7.0
101D0,102D0,5.1
102E0,102FB,7.0
10300,1031E,3.1
1031F,1031F,7.0
10320,10323,3.1
1032D,1032F,10.0
10330,1034A,3.1
10350,1037A,7.0
10380,1039F,4.0
103A0,103D5,4.1
10400,10425,3.1
10426,10427,4.0
10428,1044D,3.1
1044E,104A9,4.0
104B0,104FB,9.0
10500,1056F,7.0
10570,105BC,14.0
10600,10767,7.0
10780,107BA,14.0
10800,1083F,4.0
10840,1085F,5.2
10860,108AF,7.0
108E0,108FF,8.0
10900,10919,5.0
1091A,1091B,5.2
1091F,1091F,5.0
10920,1093F,5.1
10980,109B7,6.1
109BC,109BD,8.0
109BE,109BF,6.1
109C0,109FF,8.0
10A00,10A33,4.1
10A34,10A35,11.0
10A38,10A47,4.1
10A48,10A48,11.0
10A50,10A58,4.1
10A60,10A7F,5.2
10A80,10AF6,7.0
10B00,10B7F,5.2
10B80,10BAF,7.0
10C00,10C48,5.2
10C80,10CFF,8.0
10D00,10D39,11.0
10E60,10E7E,5.2
10E80,10EB1,13.0
10EFD,10EFF,15.0
10F00,10F59,11.0
10F70,10F89,14.0
10FB0,10FCB,13.0
10FE0,10FF6,12.0
11000,1106F,6.0
11070,11075,14.0
1107F,1107F,7.0
11080,110C1,5.2
110C2,110C2,14.0
110CD,110CD,11.0
110D0,11143,6.1
11144,11146,11.0
11147,11147,13.0
11150,11176,7.0
11180,111C8,6.1
111C9,111CC,8.0
111CD,111CD,7.0
111CE,111CF,13.0
111D0,111D9,6.1
111DA,111DA,7.0
111DB,111DF,8.0
111E1,1123D,7.0
1123E,1123E,9.0
1123F,11241,15.0
11280,112A9,8.0
112B0,112F9,7.0
11300,11300,8.0
11301,11339,7.0
1133B,1133B,11.0
1133C,1134D,7.0
11350,11350,8.0
11357,11374,7.0
11400,11459,9.0
1145A,1145A,13.0
1145B,1145D,9.0
1145E,1145E,11.0
1145F,1145F,12.0
11460,11461,13.0
11480,115C9,7.0
115CA,115DD,8.0
11600,11659,7.0
11660,1166C,9.0
11680,116B7,6.1
116B8,116B8,12.0
116B9,116B9,14.0
116C0,116C9,6.1
11700,11719,8.0
1171A,1171A,11.0
1171D,1173F,8.0
11740,11746,14.0
11800,1183B,11.0
118A0,118FF,7.0
11900,11959,13.0
119A0,119E4,12.0
11A00,11A83,10.0
11A84,11A85,12.0
11A86,11A9C,10.0
11A9D,11A9D,11.0
11A9E,11AA2,10.0
11AB0,11ABF,14.0
11AC0,11AF8,7.0
11B00,11B09,15.0
11C00,11CB6,9.0
11D00,11D59,10.0
11D60,11EF8,11.0
11F00,11F59,15.0
11FB0,11FB0,13.0
11FC0,11FFF,12.0
12000,1236E,5.0
1236F,12398,7.0
12399,12399,8.0
12400,12462,5.0
12463,1246E,7.0
12470,12473,5.0
12474,12474,7.0
12480,12543,8.0
12F90,12FF2,14.0
13000,1342E,5.2
1342F,1342F,15.0
13430,13438,12.0
13439,13455,15.0
14400,14646,8.0
16800,16A38,6.0
16A40,16A6F,7.0
16A70,16AC9,14.0
16AD0,16B8F,7.0
16E40,16E9A,11.0
16F00,16F44,6.1
16F45,16F4F,12.0
16F50,16F7E,6.1
16F7F,16F87,12.0
16F8F,16F9F,6.1
16FE0,16FE0,9.0
16FE1,16FE1,10.0
16FE2,16FE3,12.0
16FE4,16FF1,13.0
17000,187EC,9.0
187ED,187F1,11.0
187F2,187F7,12.0
18800,18AF2,9.0
18AF3,18D08,13.0
1AFF0,1AFFE,14.0
1B000,1B001,6.0
1B002,1B11E,10.0
1B11F,1B122,14.0
1B132,1B132,15.0
1B150,1B152,12.0
1B155,1B155,15.0
1B164,1B167,12.0
1B170,1B2FB,10.0
1BC00,1BCA3,7.0
1CF00,1CFC3,14.0
1D000,1D126,3.1
1D129,1D129,5.1
1D12A,1D1DD,3.1
1D1DE,1D1E8,8.0
1D1E9,1D1EA,14.0
1D200,1D245,4.1
1D2C0,1D2D3,15.0
1D2E0,1D2F3,11.0
1D300,1D356,4.0
1D360,1D371,5.0
1D372,1D378,11.0
1D400,1D4C0,3.1
1D4C1,1D4C1,4.0
1D4C2,1D6A3,3.1
1D6A4,1D6A5,4.1
1D6A8,1D7C9,3.1
